"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","sona_id","subjectID","dateInfo","rt","stimulus","response","question_order","choices","speedy","sampleAlg","selected_image","selected_index","correct"
"true","false","[]","[]","[]","preload","0","602","0.0-0.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","","","","","","","","","",""
"true","","","","","fullscreen","1","1572692","0.0-1.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","","","","","","","","","",""
"","","","","","html-keyboard-response","2","1572706","0.0-2.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","","null","","","","","","",""
"","","","","","html-button-response","3","1575644","0.0-3.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","2935","<div style='text-align:center; font-size:20px; line-height:25px; width: 1200px;'>
                Welcome to our experiment! <br>
                <br>At the bottom of this screen, you will see a button that says 'Begin Experiment.
                <br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting. <br>
                <br> Once you click that button, it will not be possible to restart the experiment. <br><br>","0","","","","","","",""
"true","","","","","fullscreen","4","1577875","0.0-4.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","","","","","","","","","",""
"","","","","","survey-multi-select","5","1590570","0.0-5.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","12688","","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","",""
"","","","","","html-button-response","6","1592926","0.0-6.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","2355","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 25 minutes to complete both parts.","0","","","","","","",""
"","","","","","survey-text","7","1600961","0.0-7.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","8032","","{""Age"":""20"",""Gender"":""Man"",""Race/ethnicity"":""White""}","","","","","","",""
"","","","","","html-button-response","8","1628161","0.0-8.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","27198","<div style='text-align: center;'>
      <p>In each trial of this task, you will see three texture images: one target item on top, and two choices beneath the target item.</p>
      <p><strong>Please select the item that is most like the target item.</strong></p>
      <p>To select the option on the <strong>LEFT</strong>, press the <strong>LEFT ARROW</strong> key. 
      To select the option on the <strong>RIGHT</strong>, press the <strong>RIGHT ARROW</strong> key.</p>
                  <!-- Target Image at the Top -->
      <div style='margin: 20px;'>
        <img src='materials/imgs/instruction_images/InstructionImg1D78.png' alt='Target Image' style='width:200px; height:auto;' />
        <p><em>Target Image</em></p>
      </div>

      <!-- Two Choice Images Below -->
      <div style='display: flex; justify-content: center;'>
        <div style='margin-right: 50px;'>
          <img src='materials/imgs/instruction_images/InstructionImg2D34.png' alt='Choice Image 1' style='width:150px; height:auto;' />
          <p><em><strong>LEFT ARROW</strong></em></p>
        </div>
        <div style='margin-left: 50px;'>
          <img src='materials/imgs/instruction_images/InstructionImg3D80.png' alt='Choice Image 2' style='width:150px; height:auto;' />
          <p><em><strong>RIGHT ARROW</strong></em></p>
        </div>
      </div>
    </div>

      <p>When you are ready to proceed, please click 'Continue' to begin practice.</p>","0","","","","","","",""
"","","","","","html-keyboard-response","9","1630672","0.0-9.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","html-keyboard-response","10","1631176","0.0-10.0-0.0-0.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","11","1632599","0.0-10.0-0.0-1.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1416","materials/imgs/D92.png","arrowright","","[""materials/imgs/D77.png"",""materials/imgs/D78.png""]","false","random","","",""
"","","","","","html-keyboard-response","12","1633104","0.0-10.0-0.0-0.1","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","13","1634662","0.0-10.0-0.0-1.1","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1554","materials/imgs/D80.png","arrowleft","","[""materials/imgs/D17.png"",""materials/imgs/D105.png""]","false","random","","",""
"","","","","","html-keyboard-response","14","1635166","0.0-10.0-0.0-0.2","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","15","1636101","0.0-10.0-0.0-1.2","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","931","materials/imgs/D84.png","arrowleft","","[""materials/imgs/D24.png"",""materials/imgs/D66.png""]","false","random","","",""
"","","","","","html-keyboard-response","16","1636604","0.0-10.0-0.0-0.3","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","17","1638104","0.0-10.0-0.0-1.3","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1497","materials/imgs/D74.png","arrowleft","","[""materials/imgs/D6.png"",""materials/imgs/D96.png""]","false","random","","",""
"","","","","","html-keyboard-response","18","1638609","0.0-10.0-0.0-0.4","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","19","1639630","0.0-10.0-0.0-1.4","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1017","materials/imgs/D111.png","arrowright","","[""materials/imgs/D55.png"",""materials/imgs/D66.png""]","false","random","","",""
"","","","","","html-keyboard-response","20","1640132","0.0-10.0-0.0-0.5","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","21","1641949","0.0-10.0-0.0-1.5","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1814","materials/imgs/D104.png","arrowleft","","[""materials/imgs/D96.png"",""materials/imgs/D48.png""]","false","random","","",""
"","","","","","html-keyboard-response","22","1642454","0.0-10.0-0.0-0.6","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","23","1644019","0.0-10.0-0.0-1.6","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1561","materials/imgs/D37.png","arrowleft","","[""materials/imgs/D46.png"",""materials/imgs/D53.png""]","false","random","","",""
"","","","","","html-keyboard-response","24","1644522","0.0-10.0-0.0-0.7","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","25","1645637","0.0-10.0-0.0-1.7","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1111","materials/imgs/D78.png","arrowright","","[""materials/imgs/D75.png"",""materials/imgs/D87.png""]","false","random","","",""
"","","","","","html-keyboard-response","26","1646140","0.0-10.0-0.0-0.8","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","27","1647722","0.0-10.0-0.0-1.8","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1578","materials/imgs/D3.png","arrowleft","","[""materials/imgs/D79.png"",""materials/imgs/D46.png""]","false","random","","",""
"","","","","","html-keyboard-response","28","1648224","0.0-10.0-0.0-0.9","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","29","1649130","0.0-10.0-0.0-1.9","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","902","materials/imgs/D55.png","arrowright","","[""materials/imgs/D77.png"",""materials/imgs/D36.png""]","false","random","","",""
"","","","","","html-button-response","30","1650869","0.0-11.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1738","<p>Great job!</p>
      <p>You are now ready to begin the experiment.</p>
      <p>There will be around 200 trials. You will have opportunities to take breaks at three stages of the trials.</p>
      <p>When you are ready to begin please click 'Continue'.</p>","0","","","","","","",""
"","","","","","html-keyboard-response","31","1653379","0.0-12.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","html-keyboard-response","32","1653883","0.0-13.0-0.0-0.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","33","1655279","0.0-13.0-0.0-1.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1392","materials/imgs/D75.png","arrowright","","[""materials/imgs/D47.png"",""materials/imgs/D57.png""]","false","random","","",""
"","","","","","html-keyboard-response","34","1655784","0.0-13.0-0.0-0.1","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","35","1656919","0.0-13.0-0.0-1.1","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1131","materials/imgs/D81.png","arrowright","","[""materials/imgs/D25.png"",""materials/imgs/D37.png""]","false","random","","",""
"","","","","","html-keyboard-response","36","1657423","0.0-13.0-0.0-0.2","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","37","1658711","0.0-13.0-0.0-1.2","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1285","materials/imgs/D101.png","arrowleft","","[""materials/imgs/D103.png"",""materials/imgs/D77.png""]","false","random","","",""
"","","","","","html-keyboard-response","38","1659214","0.0-13.0-0.0-0.3","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","39","1660271","0.0-13.0-0.0-1.3","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1054","materials/imgs/D94.png","arrowright","","[""materials/imgs/D29.png"",""materials/imgs/D78.png""]","false","random","","",""
"","","","","","html-keyboard-response","40","1660775","0.0-13.0-0.0-0.4","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","41","1663437","0.0-13.0-0.0-1.4","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","2658","materials/imgs/D48.png","arrowleft","","[""materials/imgs/D84.png"",""materials/imgs/D78.png""]","false","random","","",""
"","","","","","html-keyboard-response","42","1663941","0.0-13.0-0.0-0.5","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","43","1664716","0.0-13.0-0.0-1.5","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","772","materials/imgs/D46.png","arrowright","","[""materials/imgs/D106.png"",""materials/imgs/D74.png""]","false","random","","",""
"","","","","","html-keyboard-response","44","1665222","0.0-13.0-0.0-0.6","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","45","1666191","0.0-13.0-0.0-1.6","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","966","materials/imgs/D52.png","arrowleft","","[""materials/imgs/D47.png"",""materials/imgs/D46.png""]","false","random","","",""
"","","","","","html-keyboard-response","46","1666695","0.0-13.0-1.0-0.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","47","1667349","0.0-13.0-1.0-1.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","650","materials/imgs/D101.png","arrowright","","[""materials/imgs/D106.png"",""materials/imgs/D101.png""]","","check","materials/imgs/D101.png","1","true"
"","","","","","html-keyboard-response","48","1667853","0.0-13.0-2.0-0.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","49","1668626","0.0-13.0-2.0-1.0","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","770","materials/imgs/D57.png","arrowright","","[""materials/imgs/D111.png"",""materials/imgs/D4.png""]","false","validation","","",""
"","","","","","html-keyboard-response","50","1669131","0.0-13.0-2.0-0.1","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","51","1670008","0.0-13.0-2.0-1.1","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","873","materials/imgs/D103.png","arrowright","","[""materials/imgs/D76.png"",""materials/imgs/D106.png""]","false","validation","","",""
"","","","","","html-keyboard-response","52","1670511","0.0-13.0-0.1-0.7","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","53","1673144","0.0-13.0-0.1-1.7","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","2629","materials/imgs/D16.png","arrowright","","[""materials/imgs/D101.png"",""materials/imgs/D104.png""]","false","random","","",""
"","","","","","html-keyboard-response","54","1673648","0.0-13.0-0.1-0.8","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","55","1674584","0.0-13.0-0.1-1.8","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","933","materials/imgs/D102.png","arrowleft","","[""materials/imgs/D24.png"",""materials/imgs/D3.png""]","false","random","","",""
"","","","","","html-keyboard-response","56","1675087","0.0-13.0-0.1-0.9","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","57","1676111","0.0-13.0-0.1-1.9","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1021","materials/imgs/D111.png","arrowleft","","[""materials/imgs/D82.png"",""materials/imgs/D32.png""]","false","random","","",""
"","","","","","html-keyboard-response","58","1676615","0.0-13.0-0.1-0.10","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","59","1677678","0.0-13.0-0.1-1.10","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1059","materials/imgs/D76.png","arrowright","","[""materials/imgs/D48.png"",""materials/imgs/D56.png""]","false","random","","",""
"","","","","","html-keyboard-response","60","1678182","0.0-13.0-0.1-0.11","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","61","1679207","0.0-13.0-0.1-1.11","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1022","materials/imgs/D11.png","arrowleft","","[""materials/imgs/D105.png"",""materials/imgs/D32.png""]","false","random","","",""
"","","","","","html-keyboard-response","62","1679711","0.0-13.0-0.1-0.12","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","63","1682019","0.0-13.0-0.1-1.12","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","2305","materials/imgs/D77.png","arrowright","","[""materials/imgs/D101.png"",""materials/imgs/D56.png""]","false","random","","",""
"","","","","","html-keyboard-response","64","1682523","0.0-13.0-0.1-0.13","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","65","1684505","0.0-13.0-0.1-1.13","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1979","materials/imgs/D47.png","arrowright","","[""materials/imgs/D6.png"",""materials/imgs/D32.png""]","false","random","","",""
"","","","","","html-keyboard-response","66","1685011","0.0-13.0-1.1-0.1","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","67","1685713","0.0-13.0-1.1-1.1","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","700","materials/imgs/D53.png","arrowright","","[""materials/imgs/D64.png"",""materials/imgs/D53.png""]","","check","materials/imgs/D53.png","1","true"
"","","","","","html-keyboard-response","68","1686216","0.0-13.0-2.1-0.2","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","69","1687322","0.0-13.0-2.1-1.2","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1102","materials/imgs/D22.png","arrowleft","","[""materials/imgs/D4.png"",""materials/imgs/D25.png""]","false","validation","","",""
"","","","","","html-keyboard-response","70","1687823","0.0-13.0-2.1-0.3","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","71","1688982","0.0-13.0-2.1-1.3","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1156","materials/imgs/D20.png","arrowleft","","[""materials/imgs/D84.png"",""materials/imgs/D85.png""]","false","validation","","",""
"","","","","","html-keyboard-response","72","1689486","0.0-13.0-0.2-0.14","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","73","1690231","0.0-13.0-0.2-1.14","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","739","materials/imgs/D82.png","arrowright","","[""materials/imgs/D35.png"",""materials/imgs/D9.png""]","false","random","","",""
"","","","","","html-keyboard-response","74","1690735","0.0-13.0-0.2-0.15","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","75","1691636","0.0-13.0-0.2-1.15","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","897","materials/imgs/D102.png","arrowleft","","[""materials/imgs/D82.png"",""materials/imgs/D76.png""]","false","random","","",""
"","","","","","html-keyboard-response","76","1692139","0.0-13.0-0.2-0.16","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","77","1694463","0.0-13.0-0.2-1.16","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","2320","materials/imgs/D95.png","arrowleft","","[""materials/imgs/D29.png"",""materials/imgs/D78.png""]","false","random","","",""
"","","","","","html-keyboard-response","78","1694966","0.0-13.0-0.2-0.17","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","79","1696064","0.0-13.0-0.2-1.17","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1095","materials/imgs/D111.png","arrowright","","[""materials/imgs/D53.png"",""materials/imgs/D76.png""]","false","random","","",""
"","","","","","html-keyboard-response","80","1696565","0.0-13.0-0.2-0.18","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","81","1698213","0.0-13.0-0.2-1.18","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1645","materials/imgs/D105.png","arrowleft","","[""materials/imgs/D103.png"",""materials/imgs/D84.png""]","false","random","","",""
"","","","","","html-keyboard-response","82","1698717","0.0-13.0-0.2-0.19","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","83","1699417","0.0-13.0-0.2-1.19","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","696","materials/imgs/D9.png","arrowright","","[""materials/imgs/D17.png"",""materials/imgs/D32.png""]","false","random","","",""
"","","","","","html-keyboard-response","84","1699921","0.0-13.0-0.2-0.20","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","85","1700907","0.0-13.0-0.2-1.20","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","983","materials/imgs/D96.png","arrowleft","","[""materials/imgs/D76.png"",""materials/imgs/D36.png""]","false","random","","",""
"","","","","","html-keyboard-response","86","1701412","0.0-13.0-1.2-0.2","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","87","1702076","0.0-13.0-1.2-1.2","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","662","materials/imgs/D76.png","arrowleft","","[""materials/imgs/D76.png"",""materials/imgs/D78.png""]","","check","materials/imgs/D76.png","0","true"
"","","","","","html-keyboard-response","88","1702580","0.0-13.0-2.2-0.4","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","89","1705664","0.0-13.0-2.2-1.4","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","3081","materials/imgs/D32.png","arrowleft","","[""materials/imgs/D68.png"",""materials/imgs/D96.png""]","false","validation","","",""
"","","","","","html-keyboard-response","90","1706169","0.0-13.0-2.2-0.5","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","91","1707597","0.0-13.0-2.2-1.5","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1425","materials/imgs/D19.png","arrowleft","","[""materials/imgs/D111.png"",""materials/imgs/D56.png""]","false","validation","","",""
"","","","","","html-keyboard-response","92","1708100","0.0-13.0-0.3-0.21","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","93","1711339","0.0-13.0-0.3-1.21","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","3236","materials/imgs/D17.png","arrowleft","","[""materials/imgs/D22.png"",""materials/imgs/D35.png""]","false","random","","",""
"","","","","","html-keyboard-response","94","1711842","0.0-13.0-0.3-0.22","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","95","1713045","0.0-13.0-0.3-1.22","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1199","materials/imgs/D35.png","arrowleft","","[""materials/imgs/D36.png"",""materials/imgs/D105.png""]","false","random","","",""
"","","","","","html-keyboard-response","96","1713548","0.0-13.0-0.3-0.23","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","97","1715106","0.0-13.0-0.3-1.23","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1555","materials/imgs/D49.png","arrowright","","[""materials/imgs/D46.png"",""materials/imgs/D82.png""]","false","random","","",""
"","","","","","html-keyboard-response","98","1715609","0.0-13.0-0.3-0.24","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","99","1716464","0.0-13.0-0.3-1.24","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","851","materials/imgs/D17.png","arrowleft","","[""materials/imgs/D85.png"",""materials/imgs/D49.png""]","false","random","","",""
"","","","","","html-keyboard-response","100","1716969","0.0-13.0-0.3-0.25","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","101","1718655","0.0-13.0-0.3-1.25","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1683","materials/imgs/D102.png","arrowleft","","[""materials/imgs/D11.png"",""materials/imgs/D85.png""]","false","random","","",""
"","","","","","html-keyboard-response","102","1719159","0.0-13.0-0.3-0.26","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","103","1721629","0.0-13.0-0.3-1.26","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","2467","materials/imgs/D4.png","arrowleft","","[""materials/imgs/D104.png"",""materials/imgs/D37.png""]","false","random","","",""
"","","","","","html-keyboard-response","104","1722133","0.0-13.0-0.3-0.27","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","105","1724281","0.0-13.0-0.3-1.27","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","2145","materials/imgs/D104.png","arrowleft","","[""materials/imgs/D9.png"",""materials/imgs/D24.png""]","false","random","","",""
"","","","","","html-keyboard-response","106","1724785","0.0-13.0-1.3-0.3","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","107","1725500","0.0-13.0-1.3-1.3","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","713","materials/imgs/D106.png","arrowleft","","[""materials/imgs/D106.png"",""materials/imgs/D101.png""]","","check","materials/imgs/D106.png","0","true"
"","","","","","html-keyboard-response","108","1726004","0.0-13.0-2.3-0.6","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","109","1726970","0.0-13.0-2.3-1.6","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","963","materials/imgs/D53.png","arrowleft","","[""materials/imgs/D77.png"",""materials/imgs/D75.png""]","false","validation","","",""
"","","","","","html-keyboard-response","110","1727470","0.0-13.0-2.3-0.7","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","111","1728695","0.0-13.0-2.3-1.7","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1221","materials/imgs/D84.png","arrowleft","","[""materials/imgs/D106.png"",""materials/imgs/D37.png""]","false","validation","","",""
"","","","","","html-keyboard-response","112","1729199","0.0-13.0-0.4-0.28","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","113","1730418","0.0-13.0-0.4-1.28","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","1216","materials/imgs/D84.png","arrowleft","","[""materials/imgs/D3.png"",""materials/imgs/D6.png""]","false","random","","",""
"","","","","","html-keyboard-response","114","1730922","0.0-13.0-0.4-0.29","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","115","1733023","0.0-13.0-0.4-1.29","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","2098","materials/imgs/D96.png","arrowleft","","[""materials/imgs/D32.png"",""materials/imgs/D16.png""]","false","random","","",""
"","","","","","html-keyboard-response","116","1733528","0.0-13.0-0.4-0.30","ot2odwhhnq","","ot2odwhhnq","""2024-11-12T18:06:02.871Z""","null","+","null","","","","","","",""
